Release,Maint. (VM),%Vmaint.,Jdiff %,LOC,%VLOC,TBR,#JF,%VJF,%ConcrC,%VConcrC,%PLC,%VPLC,%PBC,%VPBC,ACCx,VACCx,AMITC,%VAMITC,AICTC,%VAICTC,AAFTC,%VAAFTC,ADAC,%VADAC,ADEC,%VADEC,#TTC,%VTTC,#TTCR,%VTTCR,ATCC,%VATCC,#TLOC,%VTLOC,ALOCC,%VALOCC,ALOCTC,%VALOCTC
0.6.3,0.13232,--,--,3293,--,--,30,--,83.33%,--,50.57%,--,29.46%,--,1.8904323243,--,7.8203460565,--,1.8341661983,--,6.8010829502,--,2.88,--,1.4,--,886098,--,356946,--,35443.92,--,12020028,--,480801.12,--,13.57,--
0.6.4,0.12944,-2.18%,+66.00%,6182,+87.73%,131,80,+166.67%,75.00%,-10.00%,42.86%,-15.25%,23.42%,-20.50%,1.9478411157,+3.04%,12.3665095201,+58.13%,2.2177283814,+20.91%,10.6602253735,+56.74%,2.4166666667,-16.09%,1.3166666667,-5.95%,1068005,+20.53%,517337,+44.93%,17800.08,-49.78%,21528255,+79.10%,358804.25,-25.37%,20.16,+48.60%
0.6.5,0.12938,-0.04%,+6.00%,6303,+1.96%,49,82,+2.50%,75.61%,+0.81%,43.61%,+1.77%,24.42%,+4.27%,1.9460284161,-0.09%,13.2458140216,+7.11%,2.4509159355,+10.51%,11.0445067263,+3.60%,2.4032258065,-0.56%,1.3225806452,+0.45%,1496066,+40.08%,748229,+44.63%,24130.10,+35.56%,31816043,+47.79%,513161.98,+43.02%,21.27,+5.50%
0.6.6,0.12938,0.00%,+0.00%,6336,+0.52%,6,82,+0.00%,75.61%,+0.00%,43.38%,-0.53%,24.18%,-0.99%,1.9530546204,+0.36%,14.5198933997,+9.62%,2.6824691446,+9.45%,12.4444247529,+12.68%,2.4032258065,+0.00%,1.3225806452,+0.00%,1354218,-9.48%,750185,+0.26%,21842.23,-9.48%,31043606,-2.43%,500703.32,-2.43%,22.92,+7.79%
0.6.7,0.12938,0.00%,+0.00%,6342,+0.09%,43,82,+0.00%,75.61%,+0.00%,27.31%,-37.05%,16.68%,-31.00%,1.9516345792,-0.07%,12.4798391489,-14.05%,2.4057186342,-10.32%,10.8938560607,-12.46%,2.4032258065,+0.00%,1.3870967742,+4.88%,1294365,-4.42%,638247,-14.92%,20876.85,-4.42%,26270011,-15.38%,423709.85,-15.38%,20.30,-11.46%
0.6.8,0.16248,25.58%,+25.00%,22015,+247.13%,87,99,+20.73%,75.76%,+0.20%,36.58%,+33.92%,16.59%,-0.53%,2.1181891818,+8.53%,12.5595019316,+0.64%,2.6670216481,+10.86%,10.5952878132,-2.74%,2.4933333333,+3.75%,1.3733333333,-0.99%,1437634,+11.07%,745253,+16.77%,19168.45,-8.18%,30113612,+14.63%,401514.83,-5.24%,20.95,+3.21%
0.6.9,0.16219,-0.18%,+0.00%,22154,+0.63%,13,102,+3.03%,76.47%,+0.94%,36.41%,-0.47%,16.55%,-0.29%,2.0776601672,-1.91%,12.7224781838,+1.30%,2.7479765835,+3.04%,10.624366745,+0.27%,2.4615384615,-1.28%,1.3846153846,+0.82%,1700342,+18.27%,853305,+14.50%,21799.26,+13.72%,36028315,+19.64%,461901.47,+15.04%,21.19,+1.16%
0.6.10,0.15859,-2.22%,+8.00%,22721,+2.56%,74,106,+3.92%,77.36%,+1.16%,36.51%,+0.29%,16.78%,+1.42%,2.0515332768,-1.26%,12.3819343488,-2.68%,2.5931477662,-5.63%,10.4455371664,-1.68%,2.4024390244,-2.40%,1.3536585366,-2.24%,1760944,+3.56%,898780,+5.33%,21474.93,-1.49%,36092924,+0.18%,440157.61,-4.71%,20.50,-3.27%
0.6.11,0.15859,0.00%,+0.00%,22721,+0.00%,4,106,+0.00%,77.36%,+0.00%,36.38%,-0.36%,16.78%,+0.00%,2.0515332768,+0.00%,11.9965572229,-3.11%,2.6094415185,+0.63%,9.9846909931,-4.41%,2.4024390244,+0.00%,1.3414634146,-0.90%,1814814,+3.06%,917856,+2.12%,22131.88,+3.06%,36526525,+1.20%,445445.43,+1.20%,20.13,-1.80%
0.6.12,0.15800,-0.37%,+5.00%,22946,+0.99%,36,111,+4.72%,77.48%,+0.15%,36.77%,+1.08%,17.22%,+2.64%,2.0449264924,-0.32%,12.2402160096,+2.03%,2.5787164964,-1.18%,10.2468958763,+2.63%,2.4069767442,+0.19%,1.3488372093,+0.55%,1774736,-2.21%,970367,+5.72%,20636.47,-6.76%,35944252,-1.59%,417956.42,-6.17%,20.25,+0.63%
0.6.13,0.15855,0.34%,+8.00%,23639,+3.02%,10,114,+2.70%,78.07%,+0.76%,26.02%,-29.24%,9.27%,-46.20%,2.0511547352,+0.30%,12.3491935792,+0.89%,2.6581195493,+3.08%,10.2812841384,+0.34%,2.393258427,-0.57%,1.4831460674,+9.96%,1806067,+1.77%,963534,-0.70%,20292.89,-1.66%,36686646,+2.07%,412209.51,-1.38%,20.31,+0.29%
0.7.0,0.15666,-1.19%,+7.00%,24828,+5.03%,30,124,+8.77%,79.84%,+2.27%,37.11%,+42.60%,17.76%,+91.70%,2.0001490736,-2.49%,13.003857787,+5.30%,2.7472236758,+3.35%,10.5338316971,+2.46%,2.4747474747,+3.40%,1.5454545455,+4.20%,2136458,+18.29%,1214882,+26.09%,21580.38,+6.34%,47116006,+28.43%,475919.25,+15.46%,22.05,+8.57%
0.7.1,0.15671,0.03%,+3.00%,24929,+0.41%,12,126,+1.61%,80.95%,+1.39%,36.60%,-1.38%,17.44%,-1.82%,1.9886668197,-0.57%,12.6006799565,-3.10%,2.6868047908,-2.20%,10.4428522911,-0.86%,2.504950495,+1.22%,1.5544554455,+0.58%,2234849,+4.61%,1213000,-0.15%,22127.22,+2.53%,47104226,-0.03%,466378.48,-2.00%,21.08,-4.43%
0.8.0,0.15725,0.35%,+8.00%,24912,-0.07%,56,125,-0.79%,84.00%,+3.76%,37.10%,+1.37%,18.65%,+6.93%,2.0120523579,+1.18%,10.7090023019,-15.01%,2.4669434813,-8.18%,8.6621341919,-17.05%,2.4356435644,-2.77%,1.5247524752,-1.91%,2059140,-7.86%,1006698,-17.01%,20387.52,-7.86%,38253189,-18.79%,378744.45,-18.79%,18.58,-11.86%
0.8.1,0.15651,-0.48%,+5.00%,25462,+2.21%,65,127,+1.60%,51.18%,-39.07%,28.90%,-22.11%,16.86%,-9.58%,2.0063132554,-0.29%,9.0793385227,-15.22%,1.5414373155,-37.52%,7.8052836401,-9.89%,2.5692307692,+5.48%,1.9230769231,+26.12%,1310763,-36.34%,546126,-45.75%,20165.58,-1.09%,19164548,-49.90%,294839.20,-22.15%,14.62,-21.30%
0.8.2,0.15696,0.29%,+3.00%,25760,+1.17%,30,125,-1.57%,43.20%,-15.59%,23.34%,-19.22%,7.90%,-53.16%,1.9535199811,-2.63%,9.35842517,+3.07%,2.2190514118,+43.96%,8.0913870978,+3.67%,2.462962963,-4.14%,1.8148148148,-5.63%,1396138,+6.51%,630450,+15.44%,25854.41,+28.21%,23480668,+22.52%,434827.19,+47.48%,16.82,+15.03%
0.8.3,0.15760,0.41%,+1.00%,26086,+1.27%,41,126,+0.80%,84.13%,+94.74%,38.43%,+64.62%,20.88%,+164.37%,2.0293025929,+3.88%,10.8415451535,+15.85%,2.4562020275,+10.69%,9.1941061019,+13.63%,2.4905660377,+1.12%,1.7075471698,-5.91%,1981473,+41.93%,1026302,+62.79%,18693.14,-27.70%,37080946,+57.92%,349820.25,-19.55%,18.71,+11.27%
0.8.4,0.15784,0.15%,+3.00%,26153,+0.26%,47,127,+0.79%,82.68%,-1.72%,39.40%,+2.52%,21.53%,+3.08%,2.0300018522,+0.03%,11.7212499622,+8.11%,2.6547108421,+8.08%,9.741477153,+5.95%,2.4761904762,-0.58%,1.7238095238,+0.95%,2348423,+18.52%,1211022,+18.00%,22365.93,+19.65%,47580037,+28.31%,453143.21,+29.54%,20.26,+8.26%
0.8.7,0.15785,0.01%,+0.00%,26153,+0.00%,106,127,+0.00%,83.46%,+0.95%,39.38%,-0.04%,21.47%,-0.26%,2.0211984176,-0.43%,11.2089322403,-4.37%,2.4464892306,-7.84%,9.3404919827,-4.12%,2.4905660377,+0.58%,1.7358490566,+0.70%,2166377,-7.75%,1104506,-8.80%,20437.52,-8.62%,41586578,-12.60%,392326.21,-13.42%,19.20,-5.25%
